Date,Values
20000530,173500;0.930400;0.930500;0.930400;0.930500;0
20000530,173800;0.930400;0.930400;0.930300;0.930300;0
20000530,174300;0.930100;0.930100;0.930000;0.930000;0
20000530,174400;0.929800;0.929800;0.929700;0.929700;0
20000530,182900;0.929800;0.929900;0.929800;0.929900;0
20000530,183700;0.930000;0.930000;0.930000;0.930000;0
20000530,184000;0.929900;0.929900;0.929900;0.929900;0
20000530,184100;0.930000;0.930000;0.930000;0.930000;0
20000530,184200;0.929900;0.929900;0.929800;0.929900;0
20000530,184300;0.930000;0.930000;0.930000;0.930000;0
20000530,184500;0.929900;0.929900;0.929900;0.929900;0
20000530,184600;0.930000;0.930000;0.930000;0.930000;0
20000530,185000;0.929900;0.929900;0.929900;0.929900;0
20000530,185100;0.929800;0.929800;0.929800;0.929800;0
20000530,185200;0.929800;0.930000;0.929800;0.929900;0
20000530,185500;0.930000;0.930000;0.930000;0.930000;0
20000530,185600;0.929900;0.929900;0.929800;0.929800;0
20000530,185700;0.929700;0.929700;0.929700;0.929700;0
20000530,185900;0.929600;0.929600;0.929600;0.929600;0
20000530,190000;0.929700;0.929700;0.929700;0.929700;0
20000530,190400;0.929600;0.929600;0.929600;0.929600;0
20000530,190500;0.929700;0.929700;0.929700;0.929700;0
20000530,191100;0.929800;0.929800;0.929800;0.929800;0
20000530,191200;0.929900;0.930000;0.929900;0.930000;0
20000530,191300;0.929900;0.929900;0.929900;0.929900;0
20000530,191700;0.929800;0.929900;0.929800;0.929900;0
20000530,191800;0.929800;0.929900;0.929800;0.929900;0
20000530,192100;0.930000;0.930100;0.930000;0.930100;0
20000530,192200;0.930000;0.930000;0.929900;0.929900;0
20000530,192300;0.929800;0.929800;0.929800;0.929800;0
20000530,192400;0.929900;0.929900;0.929800;0.929800;0
20000530,192700;0.929700;0.929700;0.929700;0.929700;0
20000530,192900;0.929600;0.929600;0.929500;0.929600;0
20000530,193000;0.929500;0.929500;0.929500;0.929500;0
20000530,193200;0.929600;0.929600;0.929600;0.929600;0
20000530,193300;0.929700;0.929700;0.929700;0.929700;0
20000530,193400;0.929600;0.929600;0.929600;0.929600;0
20000530,193500;0.929500;0.929500;0.929500;0.929500;0
20000530,193600;0.929400;0.929400;0.929300;0.929400;0
20000530,193700;0.929300;0.929400;0.929300;0.929300;0
